Planning Area,Subzone,Age Group,Type of Dwelling,2020
Straits View,Straits View,25 - 29,5-Room and Executive Flats,-
Straits View,Straits View,25 - 29,Condominiums and Other Apartments,-
Straits View,Straits View,25 - 29,Landed Properties,-
Straits View,Straits View,25 - 29,Others,-
Straits View,Straits View,30 - 34,Total,-
Straits View,Straits View,30 - 34,Total HDB^,-
Straits View,Straits View,30 - 34,1- and 2-Room Flats*,-
Straits View,Straits View,30 - 34,3-Room Flats,-
Straits View,Straits View,30 - 34,4-Room Flats,-
Straits View,Straits View,30 - 34,5-Room and Executive Flats,-
Straits View,Straits View,30 - 34,Condominiums and Other Apartments,-
Straits View,Straits View,30 - 34,Landed Properties,-
Straits View,Straits View,30 - 34,Others,-
Straits View,Straits View,35 - 39,Total,-
Straits View,Straits View,35 - 39,Total HDB^,-
Straits View,Straits View,35 - 39,1- and 2-Room Flats*,-
Straits View,Straits View,35 - 39,3-Room Flats,-
Straits View,Straits View,35 - 39,4-Room Flats,-
Straits View,Straits View,35 - 39,5-Room and Executive Flats,-
Straits View,Straits View,35 - 39,Condominiums and Other Apartments,-
Straits View,Straits View,35 - 39,Landed Properties,-
Straits View,Straits View,35 - 39,Others,-
Straits View,Straits View,40 - 44,Total,-
Straits View,Straits View,40 - 44,Total HDB^,-
Straits View,Straits View,40 - 44,1- and 2-Room Flats*,-
Straits View,Straits View,40 - 44,3-Room Flats,-
Straits View,Straits View,40 - 44,4-Room Flats,-
Straits View,Straits View,40 - 44,5-Room and Executive Flats,-
Straits View,Straits View,40 - 44,Condominiums and Other Apartments,-
Straits View,Straits View,40 - 44,Landed Properties,-
Straits View,Straits View,40 - 44,Others,-
Straits View,Straits View,45 - 49,Total,-
Straits View,Straits View,45 - 49,Total HDB^,-
Straits View,Straits View,45 - 49,1- and 2-Room Flats*,-
Straits View,Straits View,45 - 49,3-Room Flats,-
Straits View,Straits View,45 - 49,4-Room Flats,-
Straits View,Straits View,45 - 49,5-Room and Executive Flats,-
Straits View,Straits View,45 - 49,Condominiums and Other Apartments,-
Straits View,Straits View,45 - 49,Landed Properties,-
Straits View,Straits View,45 - 49,Others,-
Straits View,Straits View,50 - 54,Total,-
Straits View,Straits View,50 - 54,Total HDB^,-
Straits View,Straits View,50 - 54,1- and 2-Room Flats*,-
Straits View,Straits View,50 - 54,3-Room Flats,-
Straits View,Straits View,50 - 54,4-Room Flats,-
Straits View,Straits View,50 - 54,5-Room and Executive Flats,-
Straits View,Straits View,50 - 54,Condominiums and Other Apartments,-
Straits View,Straits View,50 - 54,Landed Properties,-
Straits View,Straits View,50 - 54,Others,-
Straits View,Straits View,55 - 59,Total,-
Straits View,Straits View,55 - 59,Total HDB^,-
Straits View,Straits View,55 - 59,1- and 2-Room Flats*,-
Straits View,Straits View,55 - 59,3-Room Flats,-
Straits View,Straits View,55 - 59,4-Room Flats,-
Straits View,Straits View,55 - 59,5-Room and Executive Flats,-
Straits View,Straits View,55 - 59,Condominiums and Other Apartments,-
Straits View,Straits View,55 - 59,Landed Properties,-
Straits View,Straits View,55 - 59,Others,-
Straits View,Straits View,60 - 64,Total,-
Straits View,Straits View,60 - 64,Total HDB^,-
Straits View,Straits View,60 - 64,1- and 2-Room Flats*,-
Straits View,Straits View,60 - 64,3-Room Flats,-
Straits View,Straits View,60 - 64,4-Room Flats,-
Straits View,Straits View,60 - 64,5-Room and Executive Flats,-
Straits View,Straits View,60 - 64,Condominiums and Other Apartments,-
Straits View,Straits View,60 - 64,Landed Properties,-
Straits View,Straits View,60 - 64,Others,-
Straits View,Straits View,65 - 69,Total,-
Straits View,Straits View,65 - 69,Total HDB^,-
Straits View,Straits View,65 - 69,1- and 2-Room Flats*,-
Straits View,Straits View,65 - 69,3-Room Flats,-
Straits View,Straits View,65 - 69,4-Room Flats,-
Straits View,Straits View,65 - 69,5-Room and Executive Flats,-
Straits View,Straits View,65 - 69,Condominiums and Other Apartments,-
Straits View,Straits View,65 - 69,Landed Properties,-
Straits View,Straits View,65 - 69,Others,-
Straits View,Straits View,70 - 74,Total,-
Straits View,Straits View,70 - 74,Total HDB^,-
Straits View,Straits View,70 - 74,1- and 2-Room Flats*,-
Straits View,Straits View,70 - 74,3-Room Flats,-
Straits View,Straits View,70 - 74,4-Room Flats,-
Straits View,Straits View,70 - 74,5-Room and Executive Flats,-
Straits View,Straits View,70 - 74,Condominiums and Other Apartments,-
Straits View,Straits View,70 - 74,Landed Properties,-
Straits View,Straits View,70 - 74,Others,-
Straits View,Straits View,75 - 79,Total,-
Straits View,Straits View,75 - 79,Total HDB^,-
Straits View,Straits View,75 - 79,1- and 2-Room Flats*,-
Straits View,Straits View,75 - 79,3-Room Flats,-
Straits View,Straits View,75 - 79,4-Room Flats,-
Straits View,Straits View,75 - 79,5-Room and Executive Flats,-
Straits View,Straits View,75 - 79,Condominiums and Other Apartments,-
Straits View,Straits View,75 - 79,Landed Properties,-
Straits View,Straits View,75 - 79,Others,-
Straits View,Straits View,80 - 84,Total,-
Straits View,Straits View,80 - 84,Total HDB^,-
Straits View,Straits View,80 - 84,1- and 2-Room Flats*,-
Straits View,Straits View,80 - 84,3-Room Flats,-
Straits View,Straits View,80 - 84,4-Room Flats,-
Straits View,Straits View,80 - 84,5-Room and Executive Flats,-
Straits View,Straits View,80 - 84,Condominiums and Other Apartments,-
Straits View,Straits View,80 - 84,Landed Properties,-
Straits View,Straits View,80 - 84,Others,-
Straits View,Straits View,85 - 89,Total,-
Straits View,Straits View,85 - 89,Total HDB^,-
Straits View,Straits View,85 - 89,1- and 2-Room Flats*,-
Straits View,Straits View,85 - 89,3-Room Flats,-
Straits View,Straits View,85 - 89,4-Room Flats,-
Straits View,Straits View,85 - 89,5-Room and Executive Flats,-
Straits View,Straits View,85 - 89,Condominiums and Other Apartments,-
Straits View,Straits View,85 - 89,Landed Properties,-
Straits View,Straits View,85 - 89,Others,-
Straits View,Straits View,90 & Over,Total,-
Straits View,Straits View,90 & Over,Total HDB^,-
Straits View,Straits View,90 & Over,1- and 2-Room Flats*,-
Straits View,Straits View,90 & Over,3-Room Flats,-
Straits View,Straits View,90 & Over,4-Room Flats,-
Straits View,Straits View,90 & Over,5-Room and Executive Flats,-
Straits View,Straits View,90 & Over,Condominiums and Other Apartments,-
Straits View,Straits View,90 & Over,Landed Properties,-
Straits View,Straits View,90 & Over,Others,-
Sungei Kadut,Total,Total,Total,750
Sungei Kadut,Total,Total,Total HDB^,-
Sungei Kadut,Total,Total,1- and 2-Room Flats*,-
Sungei Kadut,Total,Total,3-Room Flats,-
Sungei Kadut,Total,Total,4-Room Flats,-
Sungei Kadut,Total,Total,5-Room and Executive Flats,-
Sungei Kadut,Total,Total,Condominiums and Other Apartments,-
Sungei Kadut,Total,Total,Landed Properties,670
Sungei Kadut,Total,Total,Others,80
Sungei Kadut,Total,0 - 4,Total,20
Sungei Kadut,Total,0 - 4,Total HDB^,-
Sungei Kadut,Total,0 - 4,1- and 2-Room Flats*,-
Sungei Kadut,Total,0 - 4,3-Room Flats,-
Sungei Kadut,Total,0 - 4,4-Room Flats,-
Sungei Kadut,Total,0 - 4,5-Room and Executive Flats,-
Sungei Kadut,Total,0 - 4,Condominiums and Other Apartments,-
Sungei Kadut,Total,0 - 4,Landed Properties,20
Sungei Kadut,Total,0 - 4,Others,-
Sungei Kadut,Total,5 - 9,Total,40
Sungei Kadut,Total,5 - 9,Total HDB^,-
Sungei Kadut,Total,5 - 9,1- and 2-Room Flats*,-
Sungei Kadut,Total,5 - 9,3-Room Flats,-
Sungei Kadut,Total,5 - 9,4-Room Flats,-
Sungei Kadut,Total,5 - 9,5-Room and Executive Flats,-
Sungei Kadut,Total,5 - 9,Condominiums and Other Apartments,-
Sungei Kadut,Total,5 - 9,Landed Properties,30
Sungei Kadut,Total,5 - 9,Others,10
Sungei Kadut,Total,10 - 14,Total,40
Sungei Kadut,Total,10 - 14,Total HDB^,-
Sungei Kadut,Total,10 - 14,1- and 2-Room Flats*,-
Sungei Kadut,Total,10 - 14,3-Room Flats,-
Sungei Kadut,Total,10 - 14,4-Room Flats,-
Sungei Kadut,Total,10 - 14,5-Room and Executive Flats,-
Sungei Kadut,Total,10 - 14,Condominiums and Other Apartments,-
Sungei Kadut,Total,10 - 14,Landed Properties,30
Sungei Kadut,Total,10 - 14,Others,10
Sungei Kadut,Total,15 - 19,Total,30
Sungei Kadut,Total,15 - 19,Total HDB^,-
Sungei Kadut,Total,15 - 19,1- and 2-Room Flats*,-
Sungei Kadut,Total,15 - 19,3-Room Flats,-
Sungei Kadut,Total,15 - 19,4-Room Flats,-
Sungei Kadut,Total,15 - 19,5-Room and Executive Flats,-
Sungei Kadut,Total,15 - 19,Condominiums and Other Apartments,-
Sungei Kadut,Total,15 - 19,Landed Properties,30
Sungei Kadut,Total,15 - 19,Others,-
Sungei Kadut,Total,20 - 24,Total,50
Sungei Kadut,Total,20 - 24,Total HDB^,-
Sungei Kadut,Total,20 - 24,1- and 2-Room Flats*,-
Sungei Kadut,Total,20 - 24,3-Room Flats,-
Sungei Kadut,Total,20 - 24,4-Room Flats,-
Sungei Kadut,Total,20 - 24,5-Room and Executive Flats,-
Sungei Kadut,Total,20 - 24,Condominiums and Other Apartments,-
Sungei Kadut,Total,20 - 24,Landed Properties,50
Sungei Kadut,Total,20 - 24,Others,-
Sungei Kadut,Total,25 - 29,Total,50
Sungei Kadut,Total,25 - 29,Total HDB^,-
Sungei Kadut,Total,25 - 29,1- and 2-Room Flats*,-
Sungei Kadut,Total,25 - 29,3-Room Flats,-
Sungei Kadut,Total,25 - 29,4-Room Flats,-
Sungei Kadut,Total,25 - 29,5-Room and Executive Flats,-
Sungei Kadut,Total,25 - 29,Condominiums and Other Apartments,-
Sungei Kadut,Total,25 - 29,Landed Properties,50
Sungei Kadut,Total,25 - 29,Others,-
Sungei Kadut,Total,30 - 34,Total,40
Sungei Kadut,Total,30 - 34,Total HDB^,-
Sungei Kadut,Total,30 - 34,1- and 2-Room Flats*,-
Sungei Kadut,Total,30 - 34,3-Room Flats,-
Sungei Kadut,Total,30 - 34,4-Room Flats,-
Sungei Kadut,Total,30 - 34,5-Room and Executive Flats,-
Sungei Kadut,Total,30 - 34,Condominiums and Other Apartments,-
Sungei Kadut,Total,30 - 34,Landed Properties,40
Sungei Kadut,Total,30 - 34,Others,-
Sungei Kadut,Total,35 - 39,Total,50
Sungei Kadut,Total,35 - 39,Total HDB^,-
Sungei Kadut,Total,35 - 39,1- and 2-Room Flats*,-
Sungei Kadut,Total,35 - 39,3-Room Flats,-
Sungei Kadut,Total,35 - 39,4-Room Flats,-
Sungei Kadut,Total,35 - 39,5-Room and Executive Flats,-
Sungei Kadut,Total,35 - 39,Condominiums and Other Apartments,-
Sungei Kadut,Total,35 - 39,Landed Properties,40
Sungei Kadut,Total,35 - 39,Others,10
Sungei Kadut,Total,40 - 44,Total,40
Sungei Kadut,Total,40 - 44,Total HDB^,-
Sungei Kadut,Total,40 - 44,1- and 2-Room Flats*,-
Sungei Kadut,Total,40 - 44,3-Room Flats,-
Sungei Kadut,Total,40 - 44,4-Room Flats,-
Sungei Kadut,Total,40 - 44,5-Room and Executive Flats,-
Sungei Kadut,Total,40 - 44,Condominiums and Other Apartments,-
Sungei Kadut,Total,40 - 44,Landed Properties,40
Sungei Kadut,Total,40 - 44,Others,10
Sungei Kadut,Total,45 - 49,Total,60
Sungei Kadut,Total,45 - 49,Total HDB^,-
Sungei Kadut,Total,45 - 49,1- and 2-Room Flats*,-
Sungei Kadut,Total,45 - 49,3-Room Flats,-
Sungei Kadut,Total,45 - 49,4-Room Flats,-
Sungei Kadut,Total,45 - 49,5-Room and Executive Flats,-
Sungei Kadut,Total,45 - 49,Condominiums and Other Apartments,-
Sungei Kadut,Total,45 - 49,Landed Properties,50
Sungei Kadut,Total,45 - 49,Others,20
Sungei Kadut,Total,50 - 54,Total,60
Sungei Kadut,Total,50 - 54,Total HDB^,-
Sungei Kadut,Total,50 - 54,1- and 2-Room Flats*,-
Sungei Kadut,Total,50 - 54,3-Room Flats,-
Sungei Kadut,Total,50 - 54,4-Room Flats,-
Sungei Kadut,Total,50 - 54,5-Room and Executive Flats,-
Sungei Kadut,Total,50 - 54,Condominiums and Other Apartments,-
Sungei Kadut,Total,50 - 54,Landed Properties,50
Sungei Kadut,Total,50 - 54,Others,10
Sungei Kadut,Total,55 - 59,Total,60
Sungei Kadut,Total,55 - 59,Total HDB^,-
Sungei Kadut,Total,55 - 59,1- and 2-Room Flats*,-
Sungei Kadut,Total,55 - 59,3-Room Flats,-
Sungei Kadut,Total,55 - 59,4-Room Flats,-
Sungei Kadut,Total,55 - 59,5-Room and Executive Flats,-
Sungei Kadut,Total,55 - 59,Condominiums and Other Apartments,-
Sungei Kadut,Total,55 - 59,Landed Properties,50
Sungei Kadut,Total,55 - 59,Others,10
Sungei Kadut,Total,60 - 64,Total,60
Sungei Kadut,Total,60 - 64,Total HDB^,-
Sungei Kadut,Total,60 - 64,1- and 2-Room Flats*,-
Sungei Kadut,Total,60 - 64,3-Room Flats,-
Sungei Kadut,Total,60 - 64,4-Room Flats,-
Sungei Kadut,Total,60 - 64,5-Room and Executive Flats,-
Sungei Kadut,Total,60 - 64,Condominiums and Other Apartments,-
Sungei Kadut,Total,60 - 64,Landed Properties,50
Sungei Kadut,Total,60 - 64,Others,10
Sungei Kadut,Total,65 - 69,Total,40
Sungei Kadut,Total,65 - 69,Total HDB^,-
Sungei Kadut,Total,65 - 69,1- and 2-Room Flats*,-
Sungei Kadut,Total,65 - 69,3-Room Flats,-
Sungei Kadut,Total,65 - 69,4-Room Flats,-
Sungei Kadut,Total,65 - 69,5-Room and Executive Flats,-
Sungei Kadut,Total,65 - 69,Condominiums and Other Apartments,-
Sungei Kadut,Total,65 - 69,Landed Properties,40
Sungei Kadut,Total,65 - 69,Others,-
Sungei Kadut,Total,70 - 74,Total,40
Sungei Kadut,Total,70 - 74,Total HDB^,-
Sungei Kadut,Total,70 - 74,1- and 2-Room Flats*,-
Sungei Kadut,Total,70 - 74,3-Room Flats,-
Sungei Kadut,Total,70 - 74,4-Room Flats,-
Sungei Kadut,Total,70 - 74,5-Room and Executive Flats,-
Sungei Kadut,Total,70 - 74,Condominiums and Other Apartments,-
Sungei Kadut,Total,70 - 74,Landed Properties,40
Sungei Kadut,Total,70 - 74,Others,-
Sungei Kadut,Total,75 - 79,Total,20
Sungei Kadut,Total,75 - 79,Total HDB^,-
Sungei Kadut,Total,75 - 79,1- and 2-Room Flats*,-
Sungei Kadut,Total,75 - 79,3-Room Flats,-
Sungei Kadut,Total,75 - 79,4-Room Flats,-
Sungei Kadut,Total,75 - 79,5-Room and Executive Flats,-
Sungei Kadut,Total,75 - 79,Condominiums and Other Apartments,-
Sungei Kadut,Total,75 - 79,Landed Properties,20
Sungei Kadut,Total,75 - 79,Others,-
Sungei Kadut,Total,80 - 84,Total,30
Sungei Kadut,Total,80 - 84,Total HDB^,-
Sungei Kadut,Total,80 - 84,1- and 2-Room Flats*,-
Sungei Kadut,Total,80 - 84,3-Room Flats,-
Sungei Kadut,Total,80 - 84,4-Room Flats,-
Sungei Kadut,Total,80 - 84,5-Room and Executive Flats,-
Sungei Kadut,Total,80 - 84,Condominiums and Other Apartments,-
Sungei Kadut,Total,80 - 84,Landed Properties,30
Sungei Kadut,Total,80 - 84,Others,-
Sungei Kadut,Total,85 - 89,Total,10
Sungei Kadut,Total,85 - 89,Total HDB^,-
Sungei Kadut,Total,85 - 89,1- and 2-Room Flats*,-
Sungei Kadut,Total,85 - 89,3-Room Flats,-
Sungei Kadut,Total,85 - 89,4-Room Flats,-
Sungei Kadut,Total,85 - 89,5-Room and Executive Flats,-
Sungei Kadut,Total,85 - 89,Condominiums and Other Apartments,-
Sungei Kadut,Total,85 - 89,Landed Properties,10
Sungei Kadut,Total,85 - 89,Others,-
Sungei Kadut,Total,90 & Over,Total,10
Sungei Kadut,Total,90 & Over,Total HDB^,-
Sungei Kadut,Total,90 & Over,1- and 2-Room Flats*,-
Sungei Kadut,Total,90 & Over,3-Room Flats,-
Sungei Kadut,Total,90 & Over,4-Room Flats,-
Sungei Kadut,Total,90 & Over,5-Room and Executive Flats,-
Sungei Kadut,Total,90 & Over,Condominiums and Other Apartments,-
Sungei Kadut,Total,90 & Over,Landed Properties,10
Sungei Kadut,Total,90 & Over,Others,10
Sungei Kadut,Gali Batu,Total,Total,30
Sungei Kadut,Gali Batu,Total,Total HDB^,-
Sungei Kadut,Gali Batu,Total,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,Total,3-Room Flats,-
Sungei Kadut,Gali Batu,Total,4-Room Flats,-
Sungei Kadut,Gali Batu,Total,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,Total,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,Total,Landed Properties,-
Sungei Kadut,Gali Batu,Total,Others,-
Sungei Kadut,Gali Batu,0 - 4,Total,-
Sungei Kadut,Gali Batu,0 - 4,Total HDB^,-
Sungei Kadut,Gali Batu,0 - 4,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,0 - 4,3-Room Flats,-
Sungei Kadut,Gali Batu,0 - 4,4-Room Flats,-
Sungei Kadut,Gali Batu,0 - 4,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,0 - 4,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,0 - 4,Landed Properties,-
Sungei Kadut,Gali Batu,0 - 4,Others,-
Sungei Kadut,Gali Batu,5 - 9,Total,-
Sungei Kadut,Gali Batu,5 - 9,Total HDB^,-
Sungei Kadut,Gali Batu,5 - 9,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,5 - 9,3-Room Flats,-
Sungei Kadut,Gali Batu,5 - 9,4-Room Flats,-
Sungei Kadut,Gali Batu,5 - 9,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,5 - 9,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,5 - 9,Landed Properties,-
Sungei Kadut,Gali Batu,5 - 9,Others,-
Sungei Kadut,Gali Batu,10 - 14,Total,-
Sungei Kadut,Gali Batu,10 - 14,Total HDB^,-
Sungei Kadut,Gali Batu,10 - 14,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,10 - 14,3-Room Flats,-
Sungei Kadut,Gali Batu,10 - 14,4-Room Flats,-
Sungei Kadut,Gali Batu,10 - 14,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,10 - 14,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,10 - 14,Landed Properties,-
Sungei Kadut,Gali Batu,10 - 14,Others,-
Sungei Kadut,Gali Batu,15 - 19,Total,-
Sungei Kadut,Gali Batu,15 - 19,Total HDB^,-
Sungei Kadut,Gali Batu,15 - 19,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,15 - 19,3-Room Flats,-
Sungei Kadut,Gali Batu,15 - 19,4-Room Flats,-
Sungei Kadut,Gali Batu,15 - 19,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,15 - 19,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,15 - 19,Landed Properties,-
Sungei Kadut,Gali Batu,15 - 19,Others,-
Sungei Kadut,Gali Batu,20 - 24,Total,-
Sungei Kadut,Gali Batu,20 - 24,Total HDB^,-
Sungei Kadut,Gali Batu,20 - 24,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,20 - 24,3-Room Flats,-
Sungei Kadut,Gali Batu,20 - 24,4-Room Flats,-
Sungei Kadut,Gali Batu,20 - 24,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,20 - 24,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,20 - 24,Landed Properties,-
Sungei Kadut,Gali Batu,20 - 24,Others,-
Sungei Kadut,Gali Batu,25 - 29,Total,-
Sungei Kadut,Gali Batu,25 - 29,Total HDB^,-
Sungei Kadut,Gali Batu,25 - 29,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,25 - 29,3-Room Flats,-
Sungei Kadut,Gali Batu,25 - 29,4-Room Flats,-
Sungei Kadut,Gali Batu,25 - 29,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,25 - 29,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,25 - 29,Landed Properties,-
Sungei Kadut,Gali Batu,25 - 29,Others,-
Sungei Kadut,Gali Batu,30 - 34,Total,-
Sungei Kadut,Gali Batu,30 - 34,Total HDB^,-
Sungei Kadut,Gali Batu,30 - 34,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,30 - 34,3-Room Flats,-
Sungei Kadut,Gali Batu,30 - 34,4-Room Flats,-
Sungei Kadut,Gali Batu,30 - 34,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,30 - 34,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,30 - 34,Landed Properties,-
Sungei Kadut,Gali Batu,30 - 34,Others,-
Sungei Kadut,Gali Batu,35 - 39,Total,-
Sungei Kadut,Gali Batu,35 - 39,Total HDB^,-
Sungei Kadut,Gali Batu,35 - 39,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,35 - 39,3-Room Flats,-
Sungei Kadut,Gali Batu,35 - 39,4-Room Flats,-
Sungei Kadut,Gali Batu,35 - 39,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,35 - 39,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,35 - 39,Landed Properties,-
Sungei Kadut,Gali Batu,35 - 39,Others,-
Sungei Kadut,Gali Batu,40 - 44,Total,-
Sungei Kadut,Gali Batu,40 - 44,Total HDB^,-
Sungei Kadut,Gali Batu,40 - 44,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,40 - 44,3-Room Flats,-
Sungei Kadut,Gali Batu,40 - 44,4-Room Flats,-
Sungei Kadut,Gali Batu,40 - 44,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,40 - 44,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,40 - 44,Landed Properties,-
Sungei Kadut,Gali Batu,40 - 44,Others,-
Sungei Kadut,Gali Batu,45 - 49,Total,-
Sungei Kadut,Gali Batu,45 - 49,Total HDB^,-
Sungei Kadut,Gali Batu,45 - 49,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,45 - 49,3-Room Flats,-
Sungei Kadut,Gali Batu,45 - 49,4-Room Flats,-
Sungei Kadut,Gali Batu,45 - 49,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,45 - 49,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,45 - 49,Landed Properties,-
Sungei Kadut,Gali Batu,45 - 49,Others,-
Sungei Kadut,Gali Batu,50 - 54,Total,-
Sungei Kadut,Gali Batu,50 - 54,Total HDB^,-
Sungei Kadut,Gali Batu,50 - 54,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,50 - 54,3-Room Flats,-
Sungei Kadut,Gali Batu,50 - 54,4-Room Flats,-
Sungei Kadut,Gali Batu,50 - 54,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,50 - 54,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,50 - 54,Landed Properties,-
Sungei Kadut,Gali Batu,50 - 54,Others,-
Sungei Kadut,Gali Batu,55 - 59,Total,-
Sungei Kadut,Gali Batu,55 - 59,Total HDB^,-
Sungei Kadut,Gali Batu,55 - 59,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,55 - 59,3-Room Flats,-
Sungei Kadut,Gali Batu,55 - 59,4-Room Flats,-
Sungei Kadut,Gali Batu,55 - 59,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,55 - 59,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,55 - 59,Landed Properties,-
Sungei Kadut,Gali Batu,55 - 59,Others,-
Sungei Kadut,Gali Batu,60 - 64,Total,-
Sungei Kadut,Gali Batu,60 - 64,Total HDB^,-
Sungei Kadut,Gali Batu,60 - 64,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,60 - 64,3-Room Flats,-
Sungei Kadut,Gali Batu,60 - 64,4-Room Flats,-
Sungei Kadut,Gali Batu,60 - 64,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,60 - 64,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,60 - 64,Landed Properties,-
Sungei Kadut,Gali Batu,60 - 64,Others,-
Sungei Kadut,Gali Batu,65 - 69,Total,-
Sungei Kadut,Gali Batu,65 - 69,Total HDB^,-
Sungei Kadut,Gali Batu,65 - 69,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,65 - 69,3-Room Flats,-
Sungei Kadut,Gali Batu,65 - 69,4-Room Flats,-
Sungei Kadut,Gali Batu,65 - 69,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,65 - 69,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,65 - 69,Landed Properties,-
Sungei Kadut,Gali Batu,65 - 69,Others,-
Sungei Kadut,Gali Batu,70 - 74,Total,-
Sungei Kadut,Gali Batu,70 - 74,Total HDB^,-
Sungei Kadut,Gali Batu,70 - 74,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,70 - 74,3-Room Flats,-
Sungei Kadut,Gali Batu,70 - 74,4-Room Flats,-
Sungei Kadut,Gali Batu,70 - 74,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,70 - 74,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,70 - 74,Landed Properties,-
Sungei Kadut,Gali Batu,70 - 74,Others,-
Sungei Kadut,Gali Batu,75 - 79,Total,-
Sungei Kadut,Gali Batu,75 - 79,Total HDB^,-
Sungei Kadut,Gali Batu,75 - 79,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,75 - 79,3-Room Flats,-
Sungei Kadut,Gali Batu,75 - 79,4-Room Flats,-
Sungei Kadut,Gali Batu,75 - 79,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,75 - 79,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,75 - 79,Landed Properties,-
Sungei Kadut,Gali Batu,75 - 79,Others,-
Sungei Kadut,Gali Batu,80 - 84,Total,-
Sungei Kadut,Gali Batu,80 - 84,Total HDB^,-
Sungei Kadut,Gali Batu,80 - 84,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,80 - 84,3-Room Flats,-
Sungei Kadut,Gali Batu,80 - 84,4-Room Flats,-
Sungei Kadut,Gali Batu,80 - 84,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,80 - 84,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,80 - 84,Landed Properties,-
Sungei Kadut,Gali Batu,80 - 84,Others,-
Sungei Kadut,Gali Batu,85 - 89,Total,-
Sungei Kadut,Gali Batu,85 - 89,Total HDB^,-
Sungei Kadut,Gali Batu,85 - 89,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,85 - 89,3-Room Flats,-
Sungei Kadut,Gali Batu,85 - 89,4-Room Flats,-
Sungei Kadut,Gali Batu,85 - 89,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,85 - 89,Condominiums and Other Apartments,-
Sungei Kadut,Gali Batu,85 - 89,Landed Properties,-
Sungei Kadut,Gali Batu,85 - 89,Others,-
Sungei Kadut,Gali Batu,90 & Over,Total,-
Sungei Kadut,Gali Batu,90 & Over,Total HDB^,-
Sungei Kadut,Gali Batu,90 & Over,1- and 2-Room Flats*,-
Sungei Kadut,Gali Batu,90 & Over,3-Room Flats,-
Sungei Kadut,Gali Batu,90 & Over,4-Room Flats,-
Sungei Kadut,Gali Batu,90 & Over,5-Room and Executive Flats,-
Sungei Kadut,Gali Batu,90 & Over,Condominiums and Other Apartments,-
