Planning Area,Subzone,Age Group,Type of Dwelling,2020
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Total,320
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Total HDB^,130
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,4-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,5-Room and Executive Flats,90
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Condominiums and Other Apartments,190
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,15 - 19,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Total,270
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Total HDB^,120
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,3-Room Flats,10
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,4-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,5-Room and Executive Flats,90
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Condominiums and Other Apartments,150
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,20 - 24,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Total,280
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Total HDB^,170
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,3-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,4-Room Flats,30
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,5-Room and Executive Flats,120
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Condominiums and Other Apartments,100
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,25 - 29,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Total,290
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Total HDB^,200
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,3-Room Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,4-Room Flats,40
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,5-Room and Executive Flats,120
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Condominiums and Other Apartments,90
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,30 - 34,Others,-
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Total,330
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Total HDB^,170
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,1- and 2-Room Flats*,-
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,3-Room Flats,20
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,4-Room Flats,60
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,5-Room and Executive Flats,90
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Condominiums and Other Apartments,160
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Landed Properties,-
Ang Mo Kio,Ang Mo Kio Town Centre,35 - 39,Others,10
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Total,400
Ang Mo Kio,Ang Mo Kio Town Centre,40 - 44,Total HDB^,240
